stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,3.7,0,0,0,0,0,1.48,0,0.37,0,0,0,0,0,0,0,0,0
3Month,0.21,0.31,1.77,0.31,0.21,0,0.31,0.1,3.43,0.1,0.62,0.31,0.42,0.1,0,0.21,0.21,1.35,0.1,0.1
22Month,0.27,0.27,0.68,0.27,0.14,0.27,2.19,0.14,7.24,0,0,0,0.14,0,0.14,0,0,0,0,0
