stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,19,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0.56,0,0,0,0,0.56,1.41,0,13.53,0,0,0,4.23,2.25,0,1.13,0,0,0.28,0.28,0,0
21Day,0,0,0,1.11,0,0.37,0,0,0,0,0.37,0.37,0,3.7,0,0,0,0.74,0.74,0,1.48,0,0,0,0,0,0
3Month,0,0.1,0.1,1.87,0,0,0.1,0.1,0.52,0.1,0.1,1.04,0,1.66,0.21,0.1,0.31,0.1,0.1,0.21,0,0.1,2.91,0,0,2.18,0.42
22Month,0,0,0,0.41,0,0,0,0,0.41,0,0,0,0.14,0.27,0,0,0,0.14,0,0,0,0,0.41,0,0,0,0
