stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Neural_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.56,0,0
21Day,0,0.37,0.37,0,1.48,0,0,0.37,0.37
3Month,0,0.1,0,0.1,0,0.1,0,0,1.46
