stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Neural_cell,T_cell
24hpf,1,0,0,0,0,1,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0
3Month,0,0,0.1,0,0.31,0.21,0,0,0
22Month,0,0.14,0.27,0.14,0,3.96,0.14,0,0.14
