stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Ionocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,1,0,0,6,0,0,4,2,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0.28,5.92,0,0
21Day,0.37,0,0.37,0,1.85,0,0,0,0,4.07,0,0
3Month,0,0.1,0.1,0.21,0.42,0.21,0.21,0,0,2.29,0.1,0.1
