stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
72hpf,0.56,0,0,0,0.28,0,0,0,0,0,0.28,0.28,0,0,0,33.54,1.97,0,0,0,0.28,0
21Day,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0,7.03,0.37,0,0.37,0,1.11,0
3Month,0,0,0.1,0.21,0,0,0,0,0.31,0,0,0,0,0.1,0.1,0,0,0.1,0,0.21,0,0.1
22Month,0,0.14,0,0.14,0,0,0,0.14,1.78,0.27,0,0,0.14,0.14,0,0.14,0,0,0,0,0,0
