stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,1.13,2.54,5.07,0.28,0,0,0,0,4.23,1.97,0,0,1.69,0,0,0.28,0.28,0,0,0,0
21Day,0.74,0,0,2.22,0.37,0,0,0,0,0,0,0.37,0.37,0,0,3.33,11.1,0.74,0,0,0.37,0,1.48,1.85,0,0.37,0.37,0.37,0.37,0,0,0.37,0,0,0.37
3Month,0,0.31,0.1,3.22,0,0,0,1.66,4.26,0,1.66,4.58,0.21,0.62,0.1,1.04,18.83,0.94,0.1,0,0.42,0,0.31,0,0.31,0,0.21,0.21,3.64,0.1,0,0,0.1,0.1,2.5
22Month,0,1.09,0.41,3.69,0.14,0.82,0.27,0.82,6.01,2.19,19.95,1.37,6.7,0.96,0.14,0.41,21.86,1.78,0,0.41,0.41,0.14,0.27,0,0.82,0.14,0,0.14,8.34,0.14,0.14,0,0.14,0,23.23
