stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0.28,0.56,0,0,1.13,0,0,0,0,0
21Day,0,0,2.59,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0.37,0,0,0,0.37,0.37,0,0,0,0
3Month,0.1,0,3.85,0.1,0.1,1.66,0.62,0,5.2,0.73,3.54,0.31,0.62,0.42,0.83,0.31,0,1.04,0.21,0.1,0,0.52,0.1,0.1,0.94,0.21,0.31,0.31,0.1
22Month,0.27,0.14,1.5,0,0.14,0.41,0.14,0.14,5.33,0.14,2.05,0.14,0.41,0.55,0.27,0,0.14,0.14,0,0,0,0.27,0,0,0.41,0.14,0,0,0
