stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,21,8,67,1,1,0,2,3,0,7,0,0,1,0,5,24,16,81,0,0,1,22,661,1,0,14,0,0,0,0,0,1,0,0,0
72hpf,0.56,0,0.56,0.56,2.54,0,0.56,0.28,0,0,0,0,0,0,1.97,5.36,0.28,7.61,0.28,0,0,23.11,28.18,0,0,5.36,0,0,1.13,0,0,0.28,0,0,0
21Day,2.22,0,5.55,0,19.98,0,5.92,0.37,0,0,0.37,0.74,1.48,0,1.11,2.22,1.48,2.96,0,0.37,0,3.7,10.73,0,0,0.37,0.37,0,1.85,0.37,0.37,0,0,0,0.74
3Month,0.21,0,2.39,0,0,0.21,0.42,1.46,0,0,10.71,1.77,0.21,1.25,0,0.83,0.62,0.73,0,0.21,0.1,0.1,0,0.1,0,0,0.21,2.29,0,0,0,0,0.31,1.56,1.25
22Month,0,0,0.55,0,0,0,0,2.73,0.27,0,18.72,0.68,0.96,2.19,0,0,2.73,0.27,1.5,0,0,0,0,0,0.14,0,0,0.68,0,0,0,0,0,0,0
