stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,1,2,34,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0.28,0.56,0,0,0,0,0,0,0,1.13,1.13,0,5.07,0,0,0,42.84,12.4,2.82,0.28,1.69,0,0,2.25,0,0,0,0,0,0
21Day,1.11,0,0,2.22,0,0.37,0,0,0,0,0,0,0.74,0.37,0,0.37,5.92,0,0,0,31.45,9.99,0.74,1.11,1.11,0,1.48,0.37,0,0.37,0.37,0,0,0.37
3Month,0,0.83,0.73,3.43,0,0,0.21,0.1,0,1.14,0.52,0,0.52,0.1,0.31,0.83,1.46,0.31,0.21,0,1.04,0.42,12.27,0.1,0,0.21,10.09,0,0,0,0,0.1,1.14,0.42
22Month,0.14,0.14,0.68,1.64,0,0,0.27,0.55,26.1,4.92,0,0.27,1.91,0,0.14,0.96,2.05,0,0.14,0,0.55,0,13.12,0,0,0,5.33,0.14,0.14,0,0,0,0,0.27
