stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,45,0,0,0,0,5,11,1,0,0,0,0,0,0,0,0,0,0
72hpf,73.56,0.56,0,1.13,0,2.25,0,0,0,0,0,0,0,0,0.56,3.95,0,2.82,0,0.28,0,0,12.97,6.2,0,0,2.25,0.28,0,1.13,0,0,0,0,0
21Day,35.15,0.37,0.37,3.7,0.37,1.85,0.74,0,0.74,0,0.37,0,0,0,0,1.85,1.11,4.44,0,0,0.37,0,4.07,2.96,0,1.11,1.48,2.22,0.37,0.37,0.37,1.11,0,0,0.37
3Month,15.19,0.42,0.1,2.91,0,0,0,0.94,0.31,0,3.64,1.35,0.1,1.87,0.21,0.94,0.73,1.04,0.31,0,0.21,0.21,0.1,0,0.1,0,0.1,0.21,3.02,0.1,0,0,0.1,0.52,0.62
22Month,8.2,0.68,0,2.05,0,0,0.14,0.96,0.68,0.41,13.39,0,0.14,1.5,0,0,1.5,1.5,0,0.55,0.27,0,0.27,0,0.27,0,0,0.27,4.37,0.14,0,0,0,0,0.27
