stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,3.7,0.74,0,0,0,0,0,0,0,0,1.85,0,0,0,0,34.78,0,1.11,0,0,0,0,0.37,0,0,0,0.37,0,0,0
3Month,0.31,0.21,2.39,0,0,0.52,1.46,4.16,1.35,0.1,0.62,0.21,0.83,0.83,1.04,0.1,0,77.7,0.21,0,0,0,0.31,0,0.94,0.42,0.1,0.1,0,0.21,0.42,0.94
22Month,0.14,0,0.41,0,0.14,0.14,0,1.23,0,0.14,0,0,0.14,0.27,0.55,0,0.14,15.71,0,0,0,0.14,0.27,0.14,0,0,0,0,0,0,0,0
