stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,10.43,0.85,1.13,0,0,0,0,0,0,0,0,0,1.13,0,5.07,0,0,0,0,10.99,0.28,0,0,0,7.33,0,0,0,0,0.56,0.56,0,0,0
21Day,0.74,3.7,0.74,0.37,0,0,0,0,0,0,0,0,0,0,0,8.51,0,0,2.59,0,4.81,0.37,0,0,0,7.03,0.37,0.37,0,0,0.37,1.11,0,0,0
3Month,0,2.91,1.04,0,0,0.1,0.31,0.73,0,2.7,0.31,0.21,0.83,1.98,0.52,1.87,0.1,0,0.1,0.21,0.1,0,0.1,0.1,0,0.1,0.31,1.66,0,0,0,0.31,0,0.52,1.25
22Month,0,2.32,0.68,0,0.41,0,0.14,1.91,0.14,12.03,0.27,0.27,1.37,0.27,1.37,1.64,0.27,0.14,0.14,0,0.14,0,0.41,0.27,0.14,0,0,0.68,1.23,0.27,0,0,0.14,0,1.09
