stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,2.25,0.56,0,0.28,0,0,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,1.48,1.48,0,0.74,0,0,2.59,0,0,0
3Month,0,0.1,0,0.52,0.21,0.1,0.21,0.31,0,2.5,0.42,0,0.42,0.31,0.21,0.1,0.31,0.1,0,1.04,0.1,0,0.21,0,0.73,0,0,0.31,0.73,0.21
22Month,0.41,0.27,0.14,0.55,0,0,0,0.41,0.41,3.69,0,0.14,0.27,0,0,0.41,0.27,0,0.14,0,0.14,0.14,0.14,0,0,0.14,0,0,0,0.14
