stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mt_rich_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0.21,0.1,2.08,0.21,0.42,0.1,0.1,0,0.1,0.42,0.1,0.31,0.31
22Month,0.14,0.14,1.37,0,0,0,0.14,0.14,0,0.14,0,0,0
