stage,Cardiomyocyte,Epithelial_cell,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0.28,0,0,0,2.25,0,0
21Day,0.37,0,0,0.37,0,1.85,0.37,0
22Month,0,0,0.14,0,0.14,0,0,0.14
