stage,Epithelial_cell__Brain_,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,1,1,0,0,0,3,0
72hpf,0.28,0.28,0,0.56,0.28,1.97,0.28,1.41,0
21Day,0,0.37,0,0.37,0,0,0,0,1.11
