stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0
72hpf,1.41,0.56,1.13,0.28,2.82,0,0.28,0,0,1.13,1.41,1.41,24.8,240.7,0.28,3.1,0,1.41,0.28,0,0.28,0
21Day,1.11,0,0.74,0,0.74,0.37,0,0.37,0.37,0,0.37,0.37,1.11,37,0,0,1.11,0,0.37,0.37,0,0.74
3Month,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0.73,0,0,0,0,0,0,0,0
