stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0.56,0,0,0,0,0,0,0,0,0,1.97,3.1,0.28,0,0,0,0,0,0.28,0.56,0,0,0.28,0,0,0,0.28,0,0,0
21Day,0,0,0,1.11,0.74,0.37,0,0,0,0,0,0,0,0.37,1.11,0,0,0,0,0,0,0.37,0.37,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0.21,0.42,0.31,4.47,0.1,0,0.1,0.1,0.73,0.62,14.15,0.42,0.21,3.95,6.35,1.25,4.78,0.94,0.21,0,0.31,0.94,0.62,0,0.1,0.21,0,0.31,1.25,0.21,0,0.83,0.73,0.52
22Month,0,0.96,0,2.32,0.14,0,0.27,0,0.14,1.91,66,0.14,0.27,1.91,1.64,0.14,2.32,1.09,0,0.55,0.14,0,0.41,0,0.14,0.14,0.14,0,0.68,0,0,0,0.14,0.68
