stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0.28,0,0.28,0,0,0.28,0.28,0,6.76,19.73,0,0,3.66,0
21Day,0,0.37,0,0,0,0.37,0,0.37,1.85,3.7,0.37,0,1.11,0
3Month,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0.62
22Month,0,0,0,0.96,0.14,0,0,0,0,0,0,0.14,0,0
