stage,Epithelial_cell,Granulocyte,Macrophage,Neural_cell,Pancreatic_cell,Retinal_cell,Retinal_cone_cell
24hpf,1,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0
21Day,0,0,0,0,0,0.37,0.37
3Month,0,0.1,0.1,0,0.1,0,0
