stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.56,3.38,0,0,0,0,0.85,0.28,0
21Day,0.37,0,0,0,0,0,0,0,0,2.96,0,0.37,0,0.37,2.96,7.77,0.37
3Month,0,0.21,0.21,0,1.14,0.1,0.1,0.21,0,0,0,0,0,0,0,0,0.31
22Month,0,0.14,0,0,0.41,0.14,0,0,0,0,0,0,0.14,0,0,0,0
