stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0,1.41,0.56,0,0,0,10.15,0.28,0.28,0.56,0,0,0,0.56,0
21Day,0,0.74,0,2.59,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0.37,0,0,0,0,0,0,0.37,0
3Month,0,0.73,0.1,3.22,0,0.1,0,1.04,0.94,0,3.74,0.1,0,1.04,0.21,1.14,0.52,0.42,0,0.1,0,0,0,0.21,0,0,0,0,0.21
22Month,0,0.82,0,0.41,0,0,0,0.14,0.41,0.14,8.06,0.14,0.14,0.82,0,0,0.27,0,0.41,0.14,0,0,0.14,0,0.14,0.14,0.14,0.68,0.14
