stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,66,0,3,0,0,0,0,0,0,0
72hpf,0,0,2.82,0.28,0,0,0,0,0,0,0,0.56,0,4.23,0,0,0,5.07,3.95,0,9.3,0,0,1.69,0.56,0,0,0
21Day,0.37,0.74,2.96,0,0,0,0,0.37,0,0,0,1.11,0,9.99,0,0,0,1.48,2.22,0,6.66,0.37,0.37,0,0.74,0,0,0
3Month,0,0.94,1.98,0,0.31,0,1.25,0.42,0,0.62,0.1,3.43,0.31,3.64,0.73,0.1,0.1,0,0,0.21,0,0,0.52,0,0,0.1,0.31,0
22Month,0,0.27,0,0,0,0.27,2.05,0,0.14,0,0,0.41,0.41,1.64,0.14,0.14,0,0,0,0.14,0,0,0.14,0,0,0,0,0.14
