stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0,0,0.28,0,0,0,0,0,0.85,0,0.56,0,0,1.97,0.28,0,38.33,0,0,0.56,0,0
21Day,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0.37,0,14.06,0,0.37,0,0,0
3Month,0,0.21,1.87,0.1,0.21,0.1,0,0.73,0.21,0.52,0.21,0.42,0.21,1.56,0.21,0.31,0.1,0,0,0,0.1,24.96,0,4.16,0.21
22Month,0,0,0.14,0.14,0,0,0,0.27,0,0,0,0.14,0.14,0.14,0,0,0.14,0,0.14,0,0,2.32,0,0,0
