stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,6,28,0,0,5,0,0,0,0,1,0,0,0
72hpf,1.41,1.97,0,1.69,1.41,0.56,0,0,0,0,0,0,0,0,0,0.28,0.28,0,14.09,0,0.28,0.56,0,8.17,5.07,0.28,0,36.36,0,0,3.66,0,1.41,0,0,0
21Day,0.74,0.37,0.37,1.85,0,0.37,0,0.37,0,0.37,0.37,0.37,0.74,0.37,0.74,0,0.37,0.37,21.46,0,0,2.22,0,2.96,2.22,0,0,22.2,0.74,0,1.85,0.37,0.37,0,0,0
3Month,0.1,1.98,0,2.7,0.1,0,0,0,0.1,0.94,0.1,3.64,0.73,0.1,1.25,0.31,1.14,0.73,15.91,2.91,0,1.04,0.42,0,0.1,0.1,0.31,2.08,0.1,1.04,0,0,0.1,2.6,0.62,0.31
22Month,0,1.37,0,0.68,0,0,0.14,0,0,0.41,0.55,5.19,0,0.14,0.68,0,0.27,0.68,6.15,0,0.82,0.27,0,0.14,0,0.27,0,0.68,0.14,0.27,0,0,0,0,0,0
