stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,4,4,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0.85,0.28,0,0,0,0,0,0,0,0,0,0.28,1.41,0,1.41,0,0.56,0,0,4.23,2.82,0.28,0,1.69,0,0,0,0.28,0.28,0,0
21Day,0.37,0.37,0,2.96,1.85,0.37,0,0,0,0,0,0,0.74,0,0,1.85,0.37,3.7,0,0,0,0,1.85,1.85,0,0,1.85,0,0,0.37,0,0,0,0.37
3Month,0,0.21,0,2.29,0,0.1,0.31,0.73,0,0,1.46,0.21,0.1,0.52,0,0.62,0.94,0.42,0,0,0.1,0.1,0.1,0,0,0.1,0,0.1,0.73,0,0,0.1,1.14,0.31
22Month,0,0.27,0.14,0.27,0,0,0.27,0.68,0.14,0,1.37,0.14,0.27,0,0,0.14,0.27,0.14,0.14,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0
