stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,4,0,0,0,0,36,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0.56,0,0,0.56,0,1.41,0,0,0,5.07,6.2,0,0,1.13,0,0,0.85,0,0,0
21Day,0.37,0,0.37,0.74,0,0,0.37,0,0,0,0,0,0.37,2.96,0.37,0,0,2.22,0.74,0,0,0,1.85,1.48,0,0,1.11,0,0.37,0.37,0,0,4.81
3Month,0.1,0.62,0,1.77,0,0.21,0,0.1,0.73,0,0,2.81,0.73,0.52,0.94,0.31,0.73,2.91,1.56,0.31,0.31,0.31,0,0,0.21,0.21,0.1,0.1,2.29,0,0,0.31,33.91
22Month,0.14,0.41,0.14,0.27,0,0.14,0,0,0.14,0.27,0,6.7,0,0.27,0.82,0,0,1.78,1.64,0,0,0,0,0,0,0.14,0,0.14,0.41,0,0.14,0.14,6.42
