stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,1.11,0,0,0,0,0
3Month,0.31,1.35,0,0.1,0,0,1.46,0.1,0.42,0.1,0.1,0.42,0.1,0.52,0.21,0.1,0.1,0,0,0.21,24.44,0,0,0.21,15.39,0.21
22Month,0.14,0.68,0,0,0.14,0.27,11.62,0.14,0,0,0.27,0.27,0.14,0,0,0,0,0.27,0,0,6.29,0.14,0.14,0,0.27,0
