stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,10,2,0,0,0,0,0,0,0,0,0,0
72hpf,2.54,0,0,3.1,3.1,2.25,0,0,0,0,0,0,0,0,0,0,25.37,0.56,18.88,0,0.28,0,299.04,14.37,1.13,0.85,38.61,0,0,1.69,0.85,0.85,0.28,0,0
21Day,1.48,0,0,11.84,1.85,4.81,0,1.11,0,0,0,0,0,1.11,0.37,0.74,13.32,1.48,40.7,0,2.22,0,96.94,7.77,2.59,2.22,99.16,5.18,0,2.22,2.22,12.58,0,0,0
3Month,0.21,0,0.21,23.82,0.1,0,0.1,0,0.31,0.1,0.1,1.04,0.31,0,1.56,0.62,27.36,0.31,8.74,0.42,0.31,0.1,0.94,0.1,2.6,0.1,0.42,0.21,0.62,0,0,0,0.1,0.42,1.66
22Month,0,0.14,0,2.19,0,0,0,0,0,0,0.14,1.5,0,0.14,0.14,0,1.64,0.14,1.23,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0
