stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,15,0,0,3,0,0,0,0,0,0,0,1,4,0,0,0,0,88,0,0,0,0,0,1,0,0
72hpf,1.41,0.28,0,0.85,0,0,0,0,0,0,0.56,0,0.56,0,0.28,0.28,25.93,9.3,0.85,0,0,1.41,0,0,0,0
21Day,0.74,0.37,0,0.37,1.11,0.74,0,0,0.37,0.74,0.37,0,0,0,0,0,25.53,9.62,1.11,0.37,1.11,1.11,0.37,0,0,0
3Month,0,0,0.1,0.1,0,0.1,0.1,0.1,0.21,0.31,0,0,0.1,0.1,0,0,0,0,0.52,0,0,0,0,0,0.21,0.1
22Month,0,0,0,0.14,0,0,0,0.14,0.96,0.14,0,0.27,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0
