stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,1,0,2,3,0,0,0,13,0,0,1,0,0
72hpf,0,0.28,0,0,0,0.28,0,0.28,0,0,0.85,0.28,0,0.85,0.85,0.28,0.28,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,1.11,0,0.37,0,0,0,0,0,0,0
3Month,0,0,0,0,0,0.42,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0.1
22Month,0.27,0,0,0.14,0.14,0.96,0.27,0,0,0,0.27,0.14,0,0,0,0,0,0,0.14,0
