stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.56,0,0,0,0,0,0,0,0,0,18.04,8.17,0,0.28,0,0,0,0,5.07,2.25,0,0,0,0.85,0,0,0.28,0,0,0
21Day,0.74,0,0.37,6.29,0.37,0,0,0,0,0,1.11,0,0.74,0,35.89,8.14,0.37,2.22,0,0,0,0,2.59,1.11,0,0,0,1.11,1.11,0.37,0.37,0,0,0.37
3Month,0,0.21,0.52,7.28,0,0.21,0.1,0.31,0.62,0,5.62,0.73,0,2.5,14.87,0.62,1.04,1.56,0.1,0,22.78,0.21,0.21,0,0.21,0.21,0,0.1,1.04,75.83,0,0.1,11.23,0.42
22Month,0,0,0.14,1.37,0,0,0,0.14,0.27,0.41,4.78,0.14,0,0.55,2.05,0.14,0.14,0.68,0,0.27,9.84,0,0,0,0.14,0.14,2.6,0,0,9.84,0,0,0,0.14
