stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,9,9,0,1,0,0,0,0,0,0,0,0,0,0,3,4,30,0,0,0,0,27,336,0,0,9,0,0,1,0,0,0,0,0,0
72hpf,16.07,7.61,3.66,3.38,3.1,0,0,0,0,0,0,0,0.28,0,0.28,8.46,0.56,24.52,0,0.28,2.54,0,444.19,102.31,0.85,3.1,16.63,0.28,0,33.82,0.85,0.56,3.38,0,0,0
21Day,19.98,2.59,6.29,0.74,4.07,1.11,0,0,0.37,0,0,0.37,1.85,0.37,0.37,2.96,1.11,42.92,0,0,12.21,0,147.25,47.36,2.22,4.81,8.51,6.66,0,19.24,1.85,3.33,2.59,0.37,0,1.11
3Month,0.31,3.33,0.83,0,0,0,0.1,0.1,0.42,0.31,1.25,0.1,0.31,1.14,0.1,0.21,0.21,11.34,2.6,0,1.77,0.1,2.91,0.31,1.87,2.7,0.21,0,2.29,1.25,0.1,0,0.1,4.16,1.35,0.52
22Month,0,1.91,0.82,0,0,0,0,0.14,0,0.27,3.69,0.14,0,0.14,0,0,0.41,5.74,0.68,0.14,0.82,0,0.55,0.14,1.23,1.37,0.14,0,0.82,1.09,0,0,0,0.14,0,0
