stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,2,0,4,0,0,1,0,0,0,0,1,0,1,4,0,0,0,4,48,0,1,0,0,0,1,0
72hpf,0.28,0.28,1.41,0.28,0,0,0,0,0,0,1.13,0.56,0,0.85,0,0,0,5.92,3.95,0,1.13,0,0,0.56,0,0
21Day,0.74,0,1.85,0,0.37,0,0,0,1.11,0,0,1.11,0,1.48,0,0,0,4.07,3.33,0,0.74,0.37,0,1.85,0,0.37
3Month,0,0,0.1,0,0,0,0,0,0.1,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0.1
22Month,0,0,0.14,0,0,0,3.96,0.27,0.14,0.55,0,0,0.14,0.82,0,0.41,0.14,0,0,0.55,0,0,0.68,0.14,0,0
