stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.13,0,1.41,0,0,0,1.69,0.28,0,0.28,1.13,0,0,0,0.28,0,0,0
21Day,0.37,0,1.11,0,0,0,0,0,0.37,0.37,0,0.37,0,0.74,0,0,0,0,0,0,0,0.37,0,0,0,0.74,0,0,0
3Month,0,0,1.87,0.73,0.94,0,3.33,0.31,0,1.04,0.21,1.35,0.62,0.73,0.31,0,0,0,0,0.1,0.1,0,0.42,0.31,0.1,0,0.31,2.6,0.1
22Month,0,0.27,0.27,0.14,0.55,0.27,12.16,0.27,0,1.78,0,0,0.96,0.68,0,0.41,0.41,0.14,0.14,0,0.27,0,0,0.14,0,0,0,0,0.27
