stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.85,0,0.56,0,0.28,0,0,0,0,0,0,0,0,0,0.85,0,13.25,0,0,0,4.23,3.38,0,0,13.53,0,0,1.97,0,0.28,0,0,0
21Day,0.74,1.11,0,2.59,0,0.74,0,0,0,0,0,0,0,0,0.37,0.74,0,14.43,0,0,0.37,1.48,3.33,0,0,8.51,0.74,0,0.37,0,0,0,0,0
3Month,0,2.91,0,1.98,0,0,0,0.1,0.83,0,3.02,0.1,0,1.14,0.73,0.73,1.04,4.06,0.1,0.1,0.31,0.52,0,0.42,0,0.42,0.1,0.31,0,0,0.1,0.52,0.1,0.94
22Month,0,5.47,0.55,2.05,0,0,0.27,0.14,3.42,1.23,14.48,0.27,0.14,1.37,0.14,0.14,1.91,3.83,0.27,0.41,0,0.41,0,0.27,0.27,0.82,0,0.55,0.27,0.14,0,0,0,0.82
