stage,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,1,1,0,0,0
72hpf,0.28,0,0,0.56,5.07,0,0,0.56,0,0
21Day,0,1.85,0.37,0.37,2.96,0.74,0,1.11,0.37,0.37
