stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0.28,0,0,0,0.28,0.56,0,0.85,0,0,0,0,0,0
21Day,0,0,0,3.7,0,0,0,0,2.96,0,0.37,0.37,0,0,0.37,0.37,0.74,0,0,0.74,0.37,0,0,0,0,0.37,0.37,0,0.74
3Month,0,0.21,0.1,1.56,0.1,0,0.1,3.22,7.91,1.66,0.31,0,0.21,0.21,0.1,0.21,0.31,0.1,0.52,0.1,0,0.1,0.21,0.21,0.31,0,0,0.21,0.31
22Month,0,0.14,0,1.64,0,0.55,0,1.91,11.75,0.82,0,0,0,0,0,0.14,0.14,0.14,0,0,0,0,0.14,0,0.14,0,0,0,0.14
