stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0.28,1.13,0.56,0.28,1.41,0,0,44.81,3.66,0.56,0,0,0.56,0,0,0.28,12.12,10.15,0,0
21Day,0,0,0,0,0,0,0,0,0,1.85,0,0.37,0,0,0,0,4.81,1.48,0,0,0,0.37,0,0,0,15.91,15.17,0.37,0
3Month,0,0,0.62,0.21,0.21,0,0,0.1,0,0.21,0,0.42,0.1,0.62,0,0.1,0,0.1,1.14,0.1,0,0,0.1,1.35,0,0.31,0.1,0,0.1
22Month,0.14,0.14,0.41,0,0.82,0.55,0,37.72,0.27,0.55,0,0,0,0.68,0.41,0,0,0,1.5,0,0.27,0,0,0,0,14.21,0,0,0
