stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,3,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,2.82,0.28,0,0,0
21Day,0,0.37,0.74,0,0,0.37,0.37,1.48,9.25,0.37,0.37,0.74,2.96
3Month,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0
22Month,0.14,0,0,0,0.27,0,0,0,0,0,0,0,0
