stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,4,0,0,0,0,0,0,0,0,2,0,1,7,0,0,0,4,34,0,2,0,0,0,0,1,0,0,0
72hpf,0.56,0.56,0,0.28,0.28,0,0,0,0,0,0,0,0.85,0.56,0,2.82,0,0,0,0.56,3.95,0,4.79,0,0,0.28,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0.37,4.44,0,0.37,0,0.37,0.74,0,1.85,0,0.74,0,0,0,0,0,0
3Month,0.1,0.21,0.21,2.29,0,0.31,0.42,0.52,0,1.98,1.04,1.35,0.42,0.31,1.14,0.94,0.1,0.21,0.42,0.21,0,0.31,0.1,0.1,41.61,0.1,0,0,0.31,11.65,0.94
22Month,0,0.68,0.14,0.14,0,0,0,0,0.14,1.91,0,0.68,0,0.14,0.14,0.14,0.14,0,0,0,0,0,0,0,9.57,0,0,0,0,0.14,0
