stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.52,0.21,2.39,0,0,0.31,28.29,0.1,0.62,0.31,0.73,0.1,0.42,0,0,0.1,0.1,0,0,0,0.42,0.73,0.1,0.21,0.42,0.1
22Month,2.32,0,0.82,0.14,0.14,0,38.26,0.14,0.41,0,0.14,0,0.41,1.23,0.14,0,0,0.14,0.14,0.14,0,1.09,0,0,0,0
