stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0.56,0,0.28,0,19.73,0.28,0.56,0
21Day,0,0,0,0,0.37,0,0,0,0.37,0,0.37,15.17,0.37,0,0.37
3Month,0,0,0,0,0,0,0.31,0.1,0.1,0,0,0.42,0,0,0
22Month,0,0,0.41,0,0,0.27,1.37,0,0.14,0.27,0,0.27,0,0,0
