stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0,3.38,0.85,0,0,0,0,0,0.28,0.28,0,0,0
21Day,0,0,0.37,0.74,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0.74,0.37,0,0,0.37,0,0,0,0,0,0,0
3Month,0,0.21,2.08,0,0.21,0.1,0.52,1.46,1.77,1.35,0.31,1.46,0,0.21,1.35,0.73,0,0.21,0.31,0.1,0.21,0.1,0,0.21,1.56,0,0,0.52,10.19,0.31
22Month,0,0.14,0.41,0,0.14,0,0,2.46,1.09,0.68,0,0,0,0,0.68,0.55,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.27
