stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,1,1,81,1,0,0,3,0,0,0,0,0,0
72hpf,0,0,0.28,0.56,0,0,0,0,0,0,0,0,0,16.07,0.85,0,0.85,0,2.25,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0.37,0,1.11,0,0,0,18.5,1.48,0,0.74,0.37,1.85,0.37,0,0,0,0
3Month,0,0.1,0,0,0,0.1,0.52,0.94,0.83,0,0.31,0,0.1,4.99,1.14,0,0,0,0,0,0,0.1,0.1,0
22Month,0,0.14,0,0,0.14,0,0.55,1.37,0.27,0.27,0.14,0,0.14,7.11,1.09,0.14,0,0,0,0,0.14,0,0,0.14
