stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,98,3,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0.28,44.81,1.97,0,0,0,0,15.5,1.69,0,0,2.25,0,0,0.28,0,0,0,0
21Day,0,0,0.37,0.37,0,0.37,0,0,0,0,0,1.48,0,0,0,46.62,2.22,0,0,0.37,0,8.51,0.37,0,0,1.48,0.37,0,0,0,0.37,0,0
3Month,0.1,0.1,1.77,0,0.1,0.1,0.31,0.31,0,2.81,0.52,0.21,0.73,0.31,0.73,102.56,0.73,0.1,0,0.31,0.21,1.25,0.1,0.1,0.1,0,0.42,0.52,0,0.1,0,0.21,0.52
22Month,0,0.14,0.41,0,0,0,0,1.09,0.41,3.96,0.27,0.27,0.68,0.14,0,47.55,0.41,0,0.14,0,0,0.41,0,0,0.41,0,0.27,0.27,0.14,0.14,0,0,0.27
