stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0.28,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0,0,0,0,0.1,0.1,0.42,0.1,0.21,0.1,0,0.1,0,0,0.1
22Month,0,0.14,0.41,0,0,0.14,4.65,0,0,0,0.14,0,0,0,0
