stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,0,0,0.28,0,0,1.13,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0,0,0,0
21Day,0,1.11,0.37,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0
3Month,0.21,1.66,0,0.1,1.87,0,13.63,0.42,8.84,0.1,0.21,0.62,0.21,0,1.46,0.21,0,0,0.31,0.21,0.73,0.1,0.1,0.31,0.42
22Month,0.41,0.14,0,0,0.68,0.27,10.8,0,6.97,0,0,0.14,0.55,0.14,0.41,0,0,0,0.14,0,0,0,0.14,0,0
