stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0.37,0.74,0,0,0,0,1.11
3Month,0.1,0.1,0.1,7.8,0.1,0.42,0.21,0,1.46,0.52,0.31,0.52,0.42,0.21,0.42,0.1,32.35,0.21,0,1.46,0.1,0.42,0.31,1.04,7.49
22Month,0,0.55,0.14,3.96,0,0.68,0,0.14,2.32,0,0.27,0,0,0,0.14,0,17.35,0,0,2.19,0,0,0.68,0,6.42
