stage,Epithelial_cell,Erythrocyte,Fibroblast,Hepatocyte,Keratinocyte,Macrophage,Muscle_cell,Osteoblast,Pancreatic_cell,Spermatocyte
72hpf,1.13,0,0,0,1.41,0,0,0,0,0
21Day,2.96,0.37,0,0,0.74,0,0.37,0.37,0.37,0
3Month,5.41,0,0.1,0.21,0.21,0.1,0,0,0,0.1
