stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,3,2,6,0,0,0,0,0,0,0,0,2,2,21,0,0,7,183,4,0,0,0,2,0
72hpf,0.85,0.56,2.54,0.28,0.28,0.28,0,0,0.28,0,2.82,1.97,0,3.66,0,0,2.25,4.79,1.97,0,0,0,0,0
21Day,2.22,0,3.7,0,0.37,0.74,0,0,0,0,0.37,1.11,0,8.14,0,0.37,2.22,4.44,2.22,0.37,0,0.74,0,0
3Month,0,0,0.21,0,0,0.1,0.1,0.21,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1
22Month,0,0.14,0,0,0,0.14,0,1.91,0,0.14,0,0,0.55,0.14,0.27,0,0,0,0.14,0,0,0,0,0
