stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell
72hpf,0.28,0,0.28,0,0.28,0,0,0,0,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0
3Month,0,0,0,0.1,0,0,0.1,0.21,0,0.1,0,0.1,0.1,0.1
22Month,0,0.14,0,0,0,0.27,0,0.14,0,0,0,0.14,0,0
