stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9,18,0,0,0,0,0,0,0,0,0,0
72hpf,4.79,0.56,1.13,4.79,1.41,0,0,0,0,0.28,0,5.64,0,5.07,0,0,0,116.12,26.78,20.86,9.3,0,0,59.19,0,1.13,0,0,0
21Day,2.59,0,2.59,3.33,1.48,0,0.37,0,0,0,0.74,1.85,1.48,5.18,0,0.74,0,60.31,7.4,10.36,2.96,4.07,0,24.42,0.74,1.11,0,0,0.37
3Month,0,0.31,1.87,0.62,0,0.21,0.21,0.21,0.94,0.1,0.21,1.77,0.1,1.35,2.18,0.83,0.1,0.83,0.21,2.08,0,0.21,0.73,0.52,0,0,0,0.1,0
22Month,0,0,0.41,0,0,0,0,0,1.5,0,0.14,0.14,0,0.55,0,0,0,1.09,0.14,1.78,0,0,1.09,0.27,0,0,0.14,0,0
