stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,3.38,0.28,0,0,17.47,0.56,0.28,0,0,0.28,5.07,8.17,0
21Day,0,0.74,0,0.74,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,3.7,0,0,0.37,0,0.37,4.44,16.65,0
3Month,0.1,0.52,0.1,0,0,0,0.1,0,0,0.94,0,0,0.21,0,2.91,0,0.1,0,0.42,0,0,0,0.21,0,0,0,0.1
22Month,0,0.68,0,0,0.27,0.14,0.27,0.14,0,1.91,0.14,0.41,0.41,0,10.66,0.27,0,0.14,0,0.14,0,0.14,0.14,0,0.14,0,0
