stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,3.66,0,0,0,0,0,0,0,0
21Day,0,0.74,0,0,0,0,1.85,0,0,0.37,2.59,12.21,0,0.37,0.37,0.74,0,0,0,1.48
3Month,0,0.1,0.1,0.31,0.1,0,0.31,0.21,0.1,0.52,0.1,0.1,0,0.1,0,0,0.1,0.1,0.21,1.14
22Month,0.14,0,0,0.41,0.27,0.27,0.27,0.14,0,0.55,0.41,0.55,0,0.14,0,0,0,0,0,0.82
