stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,0,0,0,0,0,0,4,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0.56,0.28,0,0,0.28,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0.37,0,0,0,1.11,0,1.11,0.37,0.37,0,0,0,0.74,0,0,0,0
3Month,0.21,1.66,0,0.1,0.1,1.98,0,0.31,0.21,0.42,0.42,0,1.35,0.1,0,0.1,0.31,0,0,0.31,4.89,0.1,0.31,3.43,0.1
22Month,0.14,0.14,0,0,0.14,1.09,0.14,0.41,0,0,0.14,0.14,1.09,0,0,0,0,0.14,0,0,3.42,0,0,0,0.14
