stage,Cardiomyocyte,Epithelial_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,1
72hpf,0,0,0,2.54,0.28
21Day,0.37,0.37,0.74,0.74,0.37
