stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,1.85,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0
3Month,0.62,8.32,0.1,0.21,0,1.14,0.1,0.1,0.1,0.52,0.42,0.83,0.21,0.1,0,0,0.31,0.52,0.42,0.21
22Month,0.27,2.46,0,0.82,6.15,1.91,0.14,0.27,0,0.14,0.14,0.27,0,0.27,0.14,0,0,0.27,0,0.14
