stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0.28,3.95,0,0.56,0,0,0,0.28,0,0,0.28,0,0,0,0
21Day,0,0,0,7.03,0.37,0,0.37,0.37,0,0,0,0,0,0.37,5.55,0.37,0.37,0,0,0.37,1.85,0,0.37,0,0.37,0,0,0
3Month,0,0.21,0.1,3.74,0.1,0.1,0,0.21,0.21,0,1.14,0.31,0.52,0,1.14,0,0.52,0.1,0.21,0.42,0,0,0.31,0.1,0.1,0.52,0.21,1.66
22Month,0,0.14,0.14,0.14,0,0,0,0.14,0,0.14,1.78,0,0.41,0,0,0,0.27,0,0,0,0.14,0,0,0,0,0,0,0
