stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0.28,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,5.07,2.25,0.28,0,0,0,0.28,0,0,0,0
21Day,0,0.37,0.74,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0.37,0,0.37,0,0,0,0,0,0,0
3Month,0.1,7.49,0,0,0.1,0.1,0.1,0.62,1.04,3.12,0.73,0.21,1.56,0.73,0.21,0.73,0.73,0.21,0.31,0.1,0.62,0,0.1,0.1,0.62,3.33,0.1,0.1,0.21,159.46,0.83
22Month,0,0.55,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0.14,0,0,0,0.14,0
