stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,19,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.56,0.28,0.56,0,0,0,0,0,0,0,0,0,0.28,0,0.85,0,0,0,0,85.68,11.56,0,0.56,0,3.1,0,0.28,1.97,7.61,2.82,0.28,0,0,0
21Day,0.37,0,0,1.11,0,1.11,0,0,0,0,0,0.37,0,0.37,0,1.11,0.37,1.11,0,0,0,0,12.21,1.48,0.37,0,0,0.74,0.37,0.74,0,4.07,10.73,0,0,0,0.37
3Month,0.1,0.21,0.21,1.56,0,0,0.1,0.31,0.52,0,0,2.18,0.31,0.1,0.31,0.1,0.42,1.04,0.21,0,0.31,0.1,0.1,0.31,0.42,0,0,0.1,0.31,21.22,0.1,0.1,0,0,0.21,12.38,0.52
22Month,0,0.14,0,0.27,0,0,0.14,0,0.14,0.14,0,6.15,0,0,0.27,0,0.14,0.68,0,0.14,0,0,0,0.14,1.5,0,0.14,0,0,3.83,0.14,1.09,0,0,0,0,0.14
