stage,Hepatocyte,Immune_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
72hpf,0,0,0,1.13,0,0,0,0,0,0
21Day,0,0,0,3.33,0,0.37,0.37,0,0.37,0
3Month,0,0.1,0.1,0,0.21,0,0,0,0,0.1
22Month,0.41,0,0,0,0.14,0,0,0.27,0,0
