stage,Cardiomyocyte,Endothelial_cell,Granulosa_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,2,0,0,0,0,0
72hpf,0,0.28,0,0,0,3.66,2.25,0,0,0,0,0
21Day,0,0,0,0,0.74,0.37,0.37,0,0,0.37,0,0.37
3Month,0.1,0,0,0.21,0,0,0,0,0.1,0,0.1,0
22Month,0,0,0.27,0.41,0,0,0,0.14,0,0,0,0
